name,ra,dec,sloan_g_mag,sloan_r_mag,sloan_i_mag,sloan_z_mag,galah_g_mag,galah_r_mag,galah_i_mag,Bmag,Vmag,Rmag,Imag,Jmag,Hmag,Kmag,class_green13,origin,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra_x,ra_error,dec_x,dec_error,parallax,Posparallax,distance,dist_mod,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,Mg,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,angDist
SDSSJ001836.23-110138.5,4.650833333,-11.02736111,,18.68,7.49,,,,,,,,,,,,u,Green2013,4.6510643466178,-11.0273479806721,0.008,0.005,90.0,2424979492130090752,4.65110251792,0.2058,-11.02735955216,0.1546,0.0663,0.0663,15082.956259426848,15.892432357976137,0.2627,8.702,0.52,-2.688,0.319,false,580.965,1.12438,18.777992,2.885559642023864,244.907,6.38745,19.378883,457.699,8.52295,18.11047,1.268414,,,0,,,,,,0.817661
SDSSJ002011.85+002912.2,5.049166667,0.486722222,,15.76,7.5,,,,,,,,,,,,g,Green2013,5.0493517407092,0.4867352764851,0.002,0.001,90.0,2545373442687636224,5.04934639303,0.0439,0.48672232841,0.0338,-0.0684,0.0684,14619.883040935672,15.824719491399417,0.0544,-1.242,0.106,-3.007,0.069,false,8659.69,4.74174,15.84461,0.01989050860058228,3558.35,11.5234,16.473267,7284.8,8.52505,15.105876,1.367391,,,0,4723.71,,,,,0.667897
SDSSJ002347.62+000528.9,5.948333333,0.091361111,,16.81,7.23,,,,,,,,,,,,u,Green2013,5.9484235200985,0.09138752839,0.003,0.002,90.0,2543787672042168576,5.94842771298,0.0774,0.09138314686,0.0565,0.0976,0.0976,10245.901639344262,15.05275091166654,0.0941,0.974,0.203,-1.018,0.129,false,3113.83,2.99252,16.955128,1.9023770883334592,1286.63,9.9872,17.577755,2616.85,8.69829,16.217474,1.360281,,,0,4906.45,,,,,0.338315
SDSSJ002714.21+002914.3,6.809166667,0.487305556,,20.74,8.59,,,,,,,,,,,,nL,Green2013,6.8092457586463,0.4872567973083,0.001,0.001,90.0,2543910366373535232,6.80924575865,1.4102,0.48725679731,0.8391,,,,,,,,,,false,87.7186,0.980079,20.830637,,67.9242,20.2739,20.771328,112.92,7.61614,19.62999,1.141338,,,0,,,,,,0.334479
SDSSJ002919.44+004314.2,7.330833333,0.720611111,,18.89,7.25,,,,,,,,,,,,d,Green2013,7.3309893047153,0.7206221818712,0.009,0.007,90.0,2543896622476284800,7.33106217797,0.2885,0.72061792854,0.2214,-0.0477,0.0477,20964.3605870021,16.607408104799433,0.3453,16.924,0.589,-0.988,0.482,false,477.333,1.1036,18.991312,2.383903895200568,234.718,4.57352,19.42502,382.71,5.32134,18.304747,1.120274,,,0,,,,,,0.562867
SDSSJ003013.10-003226.6,7.554583333,-0.540722222,,19.5,8.9,,,,,,,,,,,,u,Green2013,7.5545412859673,-0.5407521603367,0.016,0.011,90.0,2543458952425074304,7.5545735242,0.4699,-0.54076190787,0.3642,1.233,1.233,811.0300081103001,9.545184617021343,0.5747,7.487,1.002,-2.264,0.739,false,260.111,1.02104,19.65047,10.105285382978655,107.038,8.07212,20.277538,290.35,8.08454,18.604618,1.67292,,,0,,,,,,0.185814
SDSSJ003351.80+151114.3,8.465833333,15.18730556,,20.61,8.56,,,,,,,,,,,,uL,Green2013,8.4658646720024,15.1873388109803,0.03,0.026,90.0,2780516403858009728,8.46591097945,0.7631,15.18735956778,0.7967,0.1034,0.1034,9671.17988394584,14.92739730621038,0.906,10.38,1.963,4.821,1.656,false,100.224,0.726219,20.685934,5.758536693789619,60.9801,10.2058,20.888418,112.549,5.47801,19.633562,1.254856,,,0,,,,,,0.161814
SDSSJ003504.79+010845.9,8.769583333,1.146083333,,17.85,9.74,,,,,,,,,,,,uE,Green2013,8.7699609349232,1.1460853984264,0.003,0.003,90.0,2544190471254314496,8.76996181235,0.1018,1.14608456692,0.092,-0.1159,0.1159,8628.127696289905,14.67958282018202,0.1026,0.204,0.222,-0.193,0.176,false,3096.74,29.0771,16.961103,2.2815201798179814,832.522,34.3889,18.0504,3416.33,93.4683,15.92802,2.12238,,,0,3981.35,,,,,1.359115
SDSSJ003721.34+001224.7,9.33875,0.206861111,,19.07,7.35,,,,,,,,,,,,d,Green2013,9.3389213865312,0.2068859825036,0.015,0.008,90.0,2543241588424367744,9.33900179041,0.3269,0.2068068851,0.2365,1.365,1.365,732.6007326007326,9.324336743116126,0.4578,18.674,0.984,-18.371,0.521,false,402.215,1.35336,19.17722,9.852883256883873,193.164,5.09795,19.636574,340.388,7.78027,18.431984,1.20459,,,0,,,,,,0.62345
SDSSJ003813.23+134551.1,9.555,13.76419444,,19.3,8.28,,,,,,,,,,,,uE,Green2013,9.5551260708004,13.7641817984778,0.011,0.008,90.0,2779361469970716800,9.55511845989,0.323,13.76418664767,0.2554,1.2459,1.2459,802.6326350429408,9.522584070852298,0.3937,-1.717,0.739,1.126,0.509,false,328.741,0.971157,19.396229,9.873644929147703,119.436,8.65977,20.158548,326.978,9.29063,18.475624,1.682924,,,0,,,,,,0.443165
