,Nsigma,usigma,gsigma,starindex
0,11.38640992,104.7589513,17.78357054,0
1,9.020613131,12.10435086,20.35410776,3
2,4.368730676,10.95118524,12.14145884,4
3,4.143435343,56.32985913,50.17159205,6
4,6.753152806,46.82201962,167.9196074,7
5,11.11771957,101.9010672,121.8362266,8
6,4.195070034,62.97516646,40.11174914,9
7,4.42738422,13.95186416,9.726329533,10
8,7.634748275,72.11905542,29.2910786,11
9,5.056281656,97.74250812,75.6381152,12
10,4.845158547,69.57389968,68.41652717,15
11,4.164677561,23.29286778,45.1629228,16
12,8.040811736,17.20209178,15.02458881,17
13,8.602511883,8.418172747,52.09247095,18
14,7.651198562,42.45573698,103.0524522,20
15,5.761154322,54.06449492,99.47152412,21
16,13.54948705,87.98749891,107.0790432,24
17,5.499546238,49.41636458,14.48670557,25
18,8.702172039,13.79270974,10.18570608,26
19,7.131134198,31.40941841,5.345732127,27
20,22.61502657,48.11621107,50.61812918,28
21,17.24273028,26.31051619,59.07426511,29
22,3.001397475,5.937840244,8.655378027,30
23,6.553989565,14.56010388,16.9783204,32
24,5.923248535,16.97460282,14.90561985,33
25,3.521408806,10.25908937,8.556739396,34
26,6.130628042,4.617234747,4.549245985,35
27,8.643435555,13.45112772,0.445242451,38
28,3.330922018,10.44325184,20.09486983,39
29,3.108262499,11.921078,10.12915741,42
30,6.549183938,32.27649121,32.96356262,45
31,3.054112098,13.33190509,16.66298297,46
32,3.453835171,5.23251273,8.08789971,47
33,4.527890142,10.39575034,14.28204851,48
34,3.943356724,4.991094711,0.853246122,49
35,37.78455642,51.10654848,0.543166901,50
36,4.55763601,6.009493826,5.020920852,57
37,11.32595138,11.20700682,3.614834018,58
38,4.874298471,10.91537722,10.45600029,59
39,3.350867614,10.48707991,10.30708228,60
40,6.907937908,10.86963103,10.63959731,61
41,5.476000807,23.72479639,10.43290725,63
42,3.120580678,9.669861573,4.861033099,66
43,4.136976927,14.65594057,18.77218614,67
44,3.599375718,5.333543347,0.293265604,68
45,6.19425141,15.34775811,0.064180184,70
46,4.696526447,12.8408898,6.949768375,71
47,62.55364372,48.12774261,31.58884868,72
48,4.155876564,8.665869171,4.971835841,75
49,3.86249908,9.661730292,11.72534217,76
50,3.523084484,11.54041014,13.52238214,77
51,3.797919832,11.20336809,11.85396189,78
52,4.864306105,17.28118594,12.84946181,79
53,3.028733158,5.70268439,0.758059804,81
54,4.541969959,11.28643482,0.967140133,82
55,3.561026975,5.807661769,1.131861099,83
56,3.295591961,4.088693533,8.051142461,84
57,4.825760874,21.29539138,19.70678493,85
58,5.149964526,24.18769364,17.84777775,86
59,6.626943344,6.245292259,2.125917107,87
60,4.733722712,13.92661867,14.45166434,88
61,3.490365921,10.86590845,32.90649756,91
62,4.603739333,7.77868925,12.29666623,93
63,6.225569673,5.142971294,7.11402573,96
64,10.22805134,19.74352634,15.60597928,98
65,7.9860995,9.616135435,26.20446808,101
66,5.589275312,15.11642625,5.583084045,102
67,5.438807264,15.18427583,14.8515424,103
68,4.803032293,17.7197484,16.20240491,104
69,3.370642606,4.151276908,2.224079227,108
70,3.38095543,8.340750932,10.61714305,110
71,3.798070107,13.27925152,15.80273759,111
72,4.351130059,4.746052374,3.0002611,112
73,5.416751045,23.60942989,20.63524593,113
74,4.823167437,4.324671716,8.024653708,114
75,7.549593618,12.76655263,16.54108443,116
76,6.694279243,21.89007333,3.834761135,117
77,4.915747542,15.22669383,9.027347953,118
78,3.485660947,21.24006429,27.47868906,121
79,3.441049843,14.68736937,20.28698694,122
80,3.06899993,5.994453566,2.027955704,124
81,3.425957568,14.19428696,15.90397171,127
82,5.15302316,11.54351161,13.0711309,129
83,140.1226391,179.1436706,156.6731513,131
84,46.76815412,33.3508443,24.93501982,132
85,11.04039076,22.07883495,34.41176653,135
86,24.08184345,76.95122264,119.001356,136
87,3.856234176,34.42408599,90.89750852,137
88,6.050281268,32.39336641,30.76556136,138
89,36.72216866,35.50516553,24.54076115,139
90,3.616154562,27.03260094,19.57565728,140
91,4.05032369,17.40099962,14.25108124,142
92,22.45334837,85.80621949,491.5037624,143
93,7.246314988,21.41514335,20.31979,144
94,11.88229581,279.5150976,305.8442767,145
95,9.675469883,8.778896655,1.765761989,147
96,3.939205974,47.89268807,64.6159486,149
97,4.156146601,42.00332953,82.87123149,151
98,13.80015833,43.56413317,34.12630416,153
99,6.464150743,7.376366762,0.201612924,154
100,4.28603615,51.14261793,83.1046996,155
101,4.240367854,16.49698267,8.603062199,156
102,29.8100494,8.821333764,24.42664675,157
103,8.222972525,5.328473236,218.9289174,158
104,3.613799477,8.645184167,4.19202522,159
105,13.48369191,46.98232465,21.80159828,163
106,3.19531551,55.34240051,1006.245291,164
107,13.66229429,39.1084982,18.77459851,165
108,3.422380475,18.42063253,16.41910494,167
109,3.153438713,7.11066226,6.867493406,169
110,4.483468253,23.78509472,14.76117864,170
111,4.12621639,20.46542087,12.49588013,172
112,11.86895595,24.47657024,11.93563974,173
113,10.83559008,44.50787731,22.63480628,174
114,3.368044493,12.08277278,17.09425483,176
115,14.93796015,43.30008843,21.96349271,177
116,8.532338436,52.7961689,204.1532208,178
117,3.52431617,99.09596142,263.0667054,179
118,3.329227795,21.84212836,22.03803567,180
119,3.520755412,32.47403941,21.69734535,183
120,15.68926374,58.42539942,93.73618492,185
121,12.29744309,63.29255356,38.33722009,186
122,49.52644397,19.40024439,76.74818112,187
123,3.466368102,11.65441164,13.72309395,188
124,24.33617611,15.55833867,18.85767813,191
125,3.845662937,17.88541682,13.47237356,193
126,16.61031524,66.30042355,77.38271968,194
127,4.437845038,16.7851899,21.55944644,196
128,8.323933027,49.6771674,225.573007,197
129,3.262518294,3.457393128,74.79314161,199
130,4.250291943,34.34425573,95.51044436,200
131,4.926534724,35.54144796,43.16303668,201
132,8.852874245,85.21096564,10.39070657,202
133,3.074220791,44.55096174,22.67015589,203
134,3.211459434,40.98210928,44.63713847,204
135,7.222406214,75.7935925,87.74750603,206
136,18.14603377,268.4549291,782.830225,209
137,3.369603199,28.23702623,60.14364189,211
138,5.310436546,5.838346635,29.40783622,212
139,4.051567311,93.61388689,88.37364186,215
140,12.44280916,29.81755019,164.7029899,216
141,3.752277543,30.80994526,36.89850188,217
142,7.69417988,73.96485066,83.71428479,219
143,4.353060115,60.287689,84.86281993,221
144,4.154181031,51.12837212,28.30449471,222
145,5.322390941,21.86731286,188.7863835,223
146,14.23345101,3.860415325,327.9615692,225
147,5.039367934,9.36593681,79.17994411,226
148,13.42223754,29.7686252,55.17655767,227
149,13.12253519,34.98990853,16.39161948,229
150,49.72774236,85.27776701,255.6909633,231
151,3.646696254,5.791249275,7.183407665,232
152,5.242222912,5.104761512,311.1117934,233
153,5.445616639,27.05083152,11.36338218,234
154,6.727909029,125.7261812,68.91002046,236
155,6.934561299,35.45581757,129.174723,237
156,8.612132527,51.96363944,94.45655253,238
157,6.549183938,32.27649121,32.96356262,244
158,3.89462987,35.01743183,62.17606346,245
159,4.080267959,25.66225544,50.77039565,246
160,6.279856182,56.64168159,66.59473857,247
161,7.430270619,15.07522763,113.9729886,249
162,5.175149677,83.17060371,521.1855602,250
163,4.453545546,77.65383189,4.324130086,252
164,4.130744853,69.99580618,70.16489558,254
165,5.696728585,15.85189421,114.8852146,257
166,7.881282332,13.76916175,181.7383726,261
167,5.15726275,65.17125444,86.68082516,262
168,3.462708331,16.7593478,20.43410396,267
169,9.020613131,12.10435086,20.35410776,268
170,5.384911387,64.90611789,59.87101245,269
171,4.961233602,65.80120168,105.2214135,271
172,5.035568521,74.37168924,12.4960603,274
173,5.769252058,52.16113564,117.9660193,275
174,21.78721863,83.97122894,511.6138058,276
175,9.771905338,45.26845759,9.73883651,278
176,3.988547089,3.459040883,2.484710039,279
177,9.596003053,23.99176265,107.7627066,280
178,14.56996143,72.94246574,673.606011,281
179,27.52907859,64.66989412,23.36207991,282
180,3.680160522,5.072932205,6.301543532,286
181,15.82399939,77.6729034,92.35235675,287
182,14.92241253,14.29798518,26.63021063,288
183,4.143435343,56.32985913,50.17159205,289
184,12.88564173,16.10742198,104.4689369,290
