,diffN,diffu,diffg,starindex
573,0.00018987261207998278,0.2844783502959621,0.21622086476303543,573.0
576,0.0004111110445790668,0.08576559253762134,1.3585224898780874,576.0
586,0.00022993475283849467,0.131559623211734,1.1636477271014902,586.0
599,0.0006114085995918065,0.047903504863901096,0.17956644902280042,599.0
604,0.001208931614462463,0.166143526291458,0.4433884433229076,604.0
605,8.307171783232103e-06,0.008070817539676693,62560.38943772655,605.0
606,0.0033306713139202504,0.23058556810401507,0.8504688530835978,606.0
607,0.00031023129246825643,0.09884016063651296,0.6294029910158994,607.0
609,0.0028590865988440285,0.7453039370762781,0.9997130858072688,609.0
610,0.00016050930803650925,0.32966812984195176,0.32643416195473823,610.0
612,0.00027105637774557325,0.5035576881893286,0.7664743080027062,612.0
613,0.0003236935724421864,0.5577625379487032,0.26871852084142944,613.0
615,2.2578349458676402e-06,13.083013355297338,20206.808993531682,615.0
616,0.004380107109396077,0.21537498860797127,0.6791404544474449,616.0
617,0.0009099635610442815,0.7332454531823985,0.4000346413700724,617.0
620,0.010062682950320982,0.17509965620975962,0.4043635494915837,620.0
622,0.0013207031443545005,0.1534869531923971,0.5812861849712266,622.0
624,0.0007188741646843289,0.029149883412373564,0.38297780037143664,624.0
625,0.00021948510310225105,0.11072480710338216,0.13646508998092247,625.0
634,0.007718290746217587,4.211948539540972,1.670433545524972,634.0
635,0.002773218132041154,0.12026976669036724,0.12693038539527182,635.0
636,0.005597334542705304,0.9483216446779389,0.6119619233879174,636.0
637,0.0002048536002914492,0.048742260509115586,0.4774540709259855,637.0
639,0.0003720541102476581,0.6339416795800633,0.48094742232610205,639.0
640,0.0005155406913799072,0.41730080749980875,2.3751860002206966,640.0
641,0.012360037173184698,0.3177471351491177,0.7718924636293256,641.0
643,0.0007454577093587364,0.10770718915984664,0.39867740868742374,643.0
644,8.980364239293006e-05,0.017200194681028416,0.14944534488536884,644.0
649,0.0006446717249853424,0.3858777452941361,0.17967911413467727,649.0
650,0.0014338755474322534,0.13479261275318996,0.5829627438753522,650.0
654,0.00078140825299556,0.09228047402967214,0.6369544864834649,654.0
655,0.0007196976153371048,0.07246122285175467,0.15556760803304628,655.0
656,0.0007706252973486909,0.46492799978909993,0.5355494785722805,656.0
660,0.003019998916444974,0.1449816871716532,0.5838036444000276,660.0
661,0.00037846589060910976,0.44962384055008964,0.35522015665176365,661.0
664,0.0006054439103871021,0.0494430484137956,0.3965693987034599,664.0
665,5.778713406414083e-05,0.021084688897158293,0.1260738945468923,665.0
667,0.005776713901355392,0.6335040156339323,0.3746326293511724,667.0
673,0.0001863149533909507,0.018328781897794376,0.16028112529514227,673.0
679,0.003774782209784328,0.09633544949842932,0.27587909770938523,679.0
681,0.001966700722498989,0.3924021182195156,0.8334097990263883,681.0
682,0.002565663985467572,0.5248547966957511,0.9775860123083012,682.0
683,0.0071194804806160375,0.19669266692828397,0.7241084296861867,683.0
685,0.0003741504217321758,0.26696186082873025,0.4644057641227265,685.0
692,0.005329134005525195,2.1759518049239452,4.2825023354270595,692.0
694,0.0037048418246589253,0.4584362820930693,0.9748716402152473,694.0
695,0.0001831833807751275,0.029672585809139344,0.25234784236671914,695.0
696,0.00018119801456080258,0.3988868929253077,0.3367422478715592,696.0
697,0.00025769740623180696,0.032928126390106754,0.615212601396325,697.0
702,0.003971038708011966,0.20274656904157343,0.6857243974140728,702.0
707,0.0009051492613214639,0.09720832275131168,1.1948439931791304,707.0
708,0.005892648341234881,0.4045686612392299,0.9252544877255673,708.0
711,0.003450993052289939,1.5518481956298866,0.4509180290741087,711.0
712,0.001038784480673631,-58.92531747810436,4100.460279526372,712.0
715,0.0002733283645472933,0.7029998152048994,4.59118088080917,715.0
716,0.011392867887901954,0.5594913124522075,0.9437368063715151,716.0
719,0.0005494688626140384,0.5781624662803523,0.3726469795683052,719.0
721,0.0019593913719793076,0.1292010766635015,0.5894416244524424,721.0
723,0.00033333992621712924,0.06296646656987616,0.24617615141829596,723.0
