,N/uchisq,totchisq,reducedtotchisq,starindex,modelindex
0,0.010091138668361173,0.010091138668361173,0.010091138668361173,0.0,23.0
1,0.3261149327683563,0.3261149327683563,0.3261149327683563,1.0,77.0
2,0.026847939390191294,0.026847939390191294,0.026847939390191294,2.0,77.0
3,0.2082673282884171,0.2082673282884171,0.2082673282884171,3.0,78.0
4,0.341733689761686,0.341733689761686,0.341733689761686,4.0,23.0
5,0.02831445126315603,0.02831445126315603,0.02831445126315603,5.0,77.0
6,0.1873586961047683,0.1873586961047683,0.1873586961047683,6.0,23.0
7,0.00875750756872618,0.00875750756872618,0.00875750756872618,7.0,23.0
8,0.4411630296930431,0.4411630296930431,0.4411630296930431,8.0,79.0
9,2.92860102508812,2.92860102508812,2.92860102508812,9.0,78.0
10,0.25369359991691554,0.25369359991691554,0.25369359991691554,10.0,24.0
11,1.0475364961685338,1.0475364961685338,1.0475364961685338,11.0,79.0
12,0.7074546356737322,0.7074546356737322,0.7074546356737322,12.0,24.0
13,1.8091757238087054,1.8091757238087054,1.8091757238087054,13.0,24.0
14,0.004689664597399284,0.004689664597399284,0.004689664597399284,14.0,81.0
15,1.1868323391839966,1.1868323391839966,1.1868323391839966,15.0,82.0
16,0.4317305971758602,0.4317305971758602,0.4317305971758602,16.0,82.0
17,0.1979173085868844,0.1979173085868844,0.1979173085868844,17.0,82.0
18,0.05283799854107232,0.05283799854107232,0.05283799854107232,18.0,81.0
19,0.038049532446906884,0.038049532446906884,0.038049532446906884,19.0,81.0
20,0.21813313280530708,0.21813313280530708,0.21813313280530708,20.0,81.0
21,0.00936109866568779,0.00936109866568779,0.00936109866568779,21.0,82.0
22,0.05836389004102489,0.05836389004102489,0.05836389004102489,22.0,84.0
23,0.17591564157961065,0.17591564157961065,0.17591564157961065,23.0,82.0
24,0.011272797888624507,0.011272797888624507,0.011272797888624507,24.0,88.0
25,11.551684698932206,11.551684698932206,11.551684698932206,25.0,86.0
26,0.024336955233155277,0.024336955233155277,0.024336955233155277,26.0,82.0
27,0.2734890138915523,0.2734890138915523,0.2734890138915523,27.0,83.0
28,0.4520769605853242,0.4520769605853242,0.4520769605853242,28.0,83.0
29,0.22553034642641892,0.22553034642641892,0.22553034642641892,29.0,83.0
30,0.08090183666655847,0.08090183666655847,0.08090183666655847,30.0,26.0
31,0.09913444149012984,0.09913444149012984,0.09913444149012984,31.0,25.0
32,0.15723484493945328,0.15723484493945328,0.15723484493945328,32.0,82.0
33,0.01853588147684527,0.01853588147684527,0.01853588147684527,33.0,81.0
34,0.07908556146997842,0.07908556146997842,0.07908556146997842,34.0,26.0
35,0.0889665811732642,0.0889665811732642,0.0889665811732642,35.0,25.0
36,0.017001396155378348,0.017001396155378348,0.017001396155378348,36.0,38.0
37,0.0041442994817417495,0.0041442994817417495,0.0041442994817417495,37.0,80.0
38,0.1110529954723344,0.1110529954723344,0.1110529954723344,38.0,82.0
39,0.102957489896821,0.102957489896821,0.102957489896821,39.0,80.0
40,0.0012506420716317827,0.0012506420716317827,0.0012506420716317827,40.0,79.0
41,0.00485234454400755,0.00485234454400755,0.00485234454400755,41.0,82.0
42,0.04056501574815204,0.04056501574815204,0.04056501574815204,42.0,79.0
43,0.6773194107505813,0.6773194107505813,0.6773194107505813,43.0,82.0
44,0.21344415195573252,0.21344415195573252,0.21344415195573252,44.0,79.0
45,0.0040761615667384635,0.0040761615667384635,0.0040761615667384635,45.0,25.0
46,0.2115219190230214,0.2115219190230214,0.2115219190230214,46.0,27.0
47,0.12704732042388125,0.12704732042388125,0.12704732042388125,47.0,84.0
48,0.1820575214248538,0.1820575214248538,0.1820575214248538,48.0,83.0
49,0.003706252101283729,0.003706252101283729,0.003706252101283729,49.0,99.0
50,0.5265988495709388,0.5265988495709388,0.5265988495709388,50.0,82.0
51,1.3956950367065732,1.3956950367065732,1.3956950367065732,51.0,82.0
52,0.13025011693763494,0.13025011693763494,0.13025011693763494,52.0,83.0
53,0.11530954595117411,0.11530954595117411,0.11530954595117411,53.0,82.0
54,0.25156203354812484,0.25156203354812484,0.25156203354812484,54.0,82.0
55,0.05123072797756305,0.05123072797756305,0.05123072797756305,55.0,81.0
56,0.015736232858392166,0.015736232858392166,0.015736232858392166,56.0,81.0
57,0.15858864305097123,0.15858864305097123,0.15858864305097123,57.0,82.0
58,0.15619826930202926,0.15619826930202926,0.15619826930202926,58.0,82.0
59,2.2497922481894905,2.2497922481894905,2.2497922481894905,59.0,83.0
60,0.41952365762080374,0.41952365762080374,0.41952365762080374,60.0,81.0
61,0.04126121659752429,0.04126121659752429,0.04126121659752429,61.0,25.0
62,0.17779219442631297,0.17779219442631297,0.17779219442631297,62.0,80.0
63,0.003530950594042085,0.003530950594042085,0.003530950594042085,63.0,83.0
64,0.023159992180805427,0.023159992180805427,0.023159992180805427,64.0,25.0
65,0.03499505233752095,0.03499505233752095,0.03499505233752095,65.0,82.0
66,0.1213770706090503,0.1213770706090503,0.1213770706090503,66.0,95.0
67,0.01827420713813859,0.01827420713813859,0.01827420713813859,67.0,37.0
68,0.1343028861898693,0.1343028861898693,0.1343028861898693,68.0,81.0
69,0.0035207027848612885,0.0035207027848612885,0.0035207027848612885,69.0,78.0
70,0.028444986688056093,0.028444986688056093,0.028444986688056093,70.0,77.0
71,2.0700854094109022,2.0700854094109022,2.0700854094109022,71.0,81.0
72,0.015252171009517547,0.015252171009517547,0.015252171009517547,72.0,80.0
73,0.047657857454633926,0.047657857454633926,0.047657857454633926,73.0,26.0
