,col1,diffN,diffu,diffg
132,132,1.99E-05,0.078433632,0.770338527
133,133,0.098254049,1.230412104,1.081708131
134,134,0.009917635,0.973854381,1.411472492
135,135,0.001650514,0.389906402,1.253556037
136,136,1.93E-05,0.007746995,0.123163601
137,137,0.014187539,0.429288834,0.49768116
138,138,0.028041738,0.522628901,0.829983007
139,139,0.237563428,0.672984139,0.864382569
140,140,0.026226402,0.402432652,0.855760871
141,141,0.049065142,0.964880188,0.986961024
142,142,0.086725454,0.48711088,0.868742108
143,143,0.000378519,0.209692654,0.094616483
144,144,0.076752273,0.684411649,0.887708547
145,145,0.005347503,7.17875652,0.436613942
146,146,0.510856278,0.93619929,0.944684527
147,147,0.2704167,0.838283897,1.013010647
148,148,0.301582727,0.983933234,0.912801616
149,149,0.00255553,0.205995568,0.642918616
151,151,0.000959233,0.07150302,0.084068629
152,152,0.002494802,0.147342266,0.560959106
153,153,0.001650421,0.277757826,0.811410832
154,154,0.238590147,0.8777085,1.001114156
155,155,0.017525791,0.246326504,0.540745859
156,156,0.011240856,0.544144886,0.920762559
157,157,0.08679641,0.902502511,1.179982592
158,158,0.173405293,1.088339741,6.242791344
159,159,0.053451522,0.585866393,0.945945376
160,160,0.151435208,0.654358325,0.915268264
161,161,0.174754773,0.822776852,0.96907369
163,163,0.012425437,0.394182879,0.879519761
164,164,0.74089659,1.509724158,15.82871288
165,165,0.030690705,0.351626797,0.86166332
167,167,0.13084074,0.694607248,0.879019286
168,168,0.014239025,0.415072016,0.877386453
169,169,0.017749209,0.659394496,0.949398307
170,170,0.026779863,0.474221682,0.891235362
171,171,0.94689322,2.291859588,1.071034844
172,172,0.049790203,0.5853051,0.90792674
173,173,0.171686306,0.684385068,0.934041132
174,174,0.164757525,0.590065786,0.874915278
175,175,0.039706133,0.453175742,0.834720875
176,176,0.055684539,0.554812933,0.842555427
177,177,0.024208383,0.361899739,0.878625096
178,178,0.151560324,0.610982554,1.752128687
179,179,0.07772506,3.190549205,3.422942491
180,180,0.030955208,0.356207046,0.83761732
182,182,0.829960005,2.229036636,1.147811046
183,183,0.119768395,0.521440234,1.599538894
184,184,0.275366116,0.549158475,1.489517472
185,185,0.000108135,0.031375985,0.136654764
186,186,0.020592189,0.300460988,0.78814042
187,187,0.000548648,0.392453458,0.29312063
188,188,0.02745984,0.463184119,0.848325277
189,189,0.000139262,0.224755506,0.965793064
190,190,0.092821356,0.828565913,0.98020926
191,191,0.024045184,0.770721755,0.965262868
192,192,0.291730547,0.836428799,2.376654234
193,193,0.075646366,0.505785194,0.875914358
194,194,3.22E-05,0.022951616,0.144730205
196,196,0.029809632,0.350617493,0.801428932
197,197,0.000925135,0.359434136,0.16895786
198,198,0.033164595,0.529574316,0.88577707
199,199,0.043784701,1.235691869,3.066677088
200,200,0.004222883,1.442854628,3.287232481
201,201,0.003135706,0.148862128,0.602452045
202,202,0.00117292,0.058208736,0.674600084
203,203,0.000503812,0.179328537,0.33181622
204,204,0.001647657,0.169571433,0.753325736
205,205,0.000741036,0.121202628,0.689458941
206,206,0.239867309,2.535813142,1.161636902
207,207,0.00620743,0.295343708,0.96323267
208,208,0.006704277,0.274429823,1.087572983
209,209,0.004326888,5.450661491,15.42046972
210,210,0.000435722,0.031155428,0.208776876
211,211,0.000300841,0.115706788,0.224473753
212,212,0.357791514,1.053773353,1.108342534
213,213,0.221556127,0.950967681,1.696588042
215,215,0.004634443,0.137780858,0.511628584
216,216,0.002157138,1.494339354,4.944217999
217,217,0.018246616,0.26217408,0.728121105
218,218,0.435402844,1.848266256,1.210539041
219,219,0.000290294,0.046254811,0.228960198
220,220,0.75807252,4.498813823,1.03555221
221,221,0.001838953,0.111558987,0.218381773
222,222,0.000528995,0.1523524,0.32217928
223,223,0.156929107,1.362534234,3.0865549
224,224,0.749314054,2.533434252,10.79475537
225,225,0.001706141,1.049778386,0.395872378
226,226,0.000542038,0.79296097,0.416579232
227,227,0.083421474,0.725819826,1.203278066
228,228,0.004149665,0.186799249,0.611512878
229,229,0.059180332,0.613274754,0.909416445
230,230,0.299052605,0.767082042,0.943271715
231,231,2.27E-05,0.057470425,0.057999146
232,232,0.283595298,1.096012247,1.039697029
233,233,0.204129956,0.934176303,7.304088163
234,234,0.387908287,1.448470519,0.979067873
235,235,0.280727618,0.744310047,0.913705013
236,236,0.452752078,2.621184685,0.873063033
237,237,0.1817429,0.673438645,1.713846812
238,238,0.000372484,0.329950932,0.304016813
239,239,0.205802461,0.834808568,0.955452722
241,241,0.05726316,0.675764712,0.887625323
242,242,0.663816876,1.816086212,1.106090851
243,243,0.266896486,0.697506558,1.483119031
244,244,0.018390504,0.405432877,0.817836363
245,245,0.000348657,0.096907429,0.198266604
246,246,0.000305794,0.149042675,0.625909025
247,247,0.000324544,0.060946955,0.509310704
248,248,0.43153529,1.149081174,1.073056099
249,249,0.129445703,1.277700005,1.209946033
250,250,0.000745331,0.080759724,0.039940583
251,251,0.004553831,0.114118596,0.083323135
252,252,0.56477484,2.144359628,1.007965343
253,253,0.335636444,1.185717245,1.061261484
254,254,0.001532965,0.097432974,0.612253959
255,255,0.241743622,0.880955073,0.949742791
256,256,0.212519166,0.741292221,0.912414973
257,257,0.081533768,0.824797422,2.058135686
258,258,0.615995913,1.535165689,1.068983003
259,259,0.510879661,0.801731395,1.170485399
260,260,0.188251713,1.007671159,1.137142261
261,261,0.060791992,0.822452581,3.343437465
262,262,0.000642391,0.039591017,0.201637264
266,266,0.535990131,1.152890449,1.711605212
267,267,0.01439101,0.320712948,0.811793945
268,268,0.208696341,1.156080368,0.962506343
269,269,0.00039965,0.043498766,0.227989259
270,270,0.002152643,0.187729629,0.673800341
271,271,0.000480896,0.03030787,0.2246982
272,272,0.154250502,0.948817927,0.974757162
273,273,0.059629876,0.932376725,1.000152036
274,274,0.018083733,0.178009362,0.769810805
275,275,0.000781238,0.519576262,0.348094852
276,276,8.43E-05,0.071910914,0.057572409
277,277,0.037594225,0.775301512,0.976218226
278,278,0.050246439,0.416282493,1.161458251
279,279,0.013177184,0.885298301,0.981691936
280,280,0.000527498,0.690636326,0.404480512
281,281,0.172600228,1.806194095,13.4084571
282,282,0.069134177,0.523493438,0.87089621
283,283,0.059149931,0.758501674,0.950585858
284,284,0.791272332,1.60625641,0.871652139
285,285,0.361710978,0.976557193,1.43828715
