,Unnamed: 0,Nsigma,usigma,gsigma,starindex
1,1,4.143435343158656,56.32985913005052,50.17159204548577,6.0
2,2,11.117719565842238,101.90106721457902,121.83622658250582,8.0
3,3,4.195070034319985,62.97516645883129,40.111749144512814,9.0
4,4,4.427384219996422,13.951864156524598,9.72632953269974,10.0
5,5,7.634748274688523,72.11905541949186,29.29107859633564,11.0
6,6,5.05628165627464,97.74250812170898,75.63811520345587,12.0
8,8,4.84515854682061,69.57389967972824,68.41652716631725,15.0
9,9,4.1646775606215565,23.292867776710462,45.16292280320541,16.0
10,10,8.040811736407392,17.20209178155565,15.024588811425136,17.0
11,11,13.549487048367038,87.98749891465347,107.0790432103106,24.0
12,12,5.499546237647563,49.41636457992976,14.486705565699928,25.0
13,13,7.1311341979732745,31.409418410478654,5.3457321268662,27.0
14,14,22.61502657329112,48.1162110744801,50.61812918451594,28.0
15,15,17.242730284219732,26.310516190790256,59.07426510632924,29.0
16,16,3.001397474735977,5.937840244108547,8.655378026771723,30.0
17,17,6.553989564973801,14.560103875789306,16.97832040201527,32.0
18,18,5.923248534668605,16.974602819870007,14.905619845167315,33.0
19,19,3.521408805770189,10.259089370419238,8.5567393956363,34.0
22,22,3.330922017501458,10.443251844189136,20.094869826454577,39.0
25,25,3.1082624990786494,11.921078000256692,10.129157414850932,42.0
28,28,6.549183937844334,32.276491208300726,32.96356261753005,45.0
29,29,3.054112098050179,13.331905093126371,16.66298296505056,46.0
30,30,3.4538351705255828,5.23251273037316,8.087899710318103,47.0
31,31,4.527890141817673,10.395750339042706,14.282048510754253,48.0
32,32,3.943356724465641,4.991094710809463,0.8532461216402588,49.0
33,33,37.7845564157891,51.106548480688666,0.5431669010426602,50.0
37,37,4.5576360104830655,6.009493825702482,5.020920851997751,57.0
38,38,11.325951377986694,11.207006816411983,3.614834017824809,58.0
39,39,4.874298471084984,10.915377222301563,10.456000287010395,59.0
40,40,3.3508676136831728,10.487079914025152,10.307082281834813,60.0
41,41,6.907937908358536,10.869631032500411,10.639597305788822,61.0
42,42,5.476000807164333,23.7247963893203,10.432907251799552,63.0
43,43,3.1205806784708363,9.66986157282608,4.861033099013582,66.0
44,44,4.136976927326255,14.65594057381746,18.77218614385361,67.0
45,45,3.5993757183705664,5.333543347023525,0.2932656038167055,68.0
47,47,4.696526446522443,12.840889795435851,6.949768375441868,71.0
48,48,62.553643718363446,48.12774261406682,31.58884867597334,72.0
51,51,4.155876563567131,8.66586917141883,4.971835840855395,75.0
52,52,3.523084484445578,11.540410144322331,13.522382140685831,77.0
53,53,3.797919831925015,11.203368094649624,11.853961887173316,78.0
54,54,4.864306104668764,17.281185940623537,12.849461813344464,79.0
56,56,4.541969959091292,11.28643481969906,0.9671401331343278,82.0
57,57,3.561026975432565,5.807661768533994,1.131861099138219,83.0
58,58,4.825760873848432,21.295391376882105,19.70678493162128,85.0
59,59,5.149964526286048,24.18769363740054,17.847777745863795,86.0
60,60,6.62694334424985,6.245292258927309,2.125917106989633,87.0
61,61,4.733722711998045,13.926618665119642,14.451664343308256,88.0
63,63,3.4903659205411475,10.865908453840964,32.90649755549137,91.0
64,64,4.603739332510493,7.7786892503699505,12.29666623042078,93.0
65,65,6.225569673436067,5.142971293826379,7.11402572954231,96.0
67,67,10.228051337253282,19.74352634237148,15.605979282603537,98.0
69,69,5.58927531193213,15.116426252326384,5.583084044812387,102.0
70,70,5.438807264120042,15.184275830354643,14.851542400766265,103.0
71,71,4.803032293236128,17.719748399052524,16.202404905229837,104.0
74,74,3.370642606450205,4.151276908035212,2.2240792268320573,108.0
76,76,3.380955429588119,8.340750932223601,10.617143049087757,110.0
77,77,3.798070107076053,13.27925152345756,15.802737585580722,111.0
78,78,4.351130058554483,4.746052374103841,3.0002611000446118,112.0
79,79,5.416751045254023,23.60942988739503,20.635245931008008,113.0
81,81,7.549593618072495,12.76655262698719,16.541084425937235,116.0
82,82,4.9157475421283054,15.22669383168897,9.027347952722543,118.0
85,85,3.4856609471236983,21.24006428882386,27.47868906406288,121.0
86,86,3.4410498426196687,14.687369370732307,20.286986937672932,122.0
88,88,3.0689999304777564,5.994453565555118,2.0279557041616862,124.0
91,91,3.425957567722272,14.194286958317576,15.903971714511323,127.0
93,93,5.153023159607039,11.543511613112743,13.0711309023262,129.0
95,95,140.12263908715897,179.1436706287479,156.67315127702196,131.0
96,96,46.76815411598079,33.35084430088535,24.935019816488413,132.0
97,97,24.08184344709203,76.95122263691565,119.00135603569576,136.0
98,98,3.856234175684688,34.424085994015655,90.89750851847695,137.0
99,99,6.050281267725954,32.393366413030485,30.76556135758537,138.0
100,100,36.72216865855823,35.50516553219199,24.54076114905055,139.0
101,101,3.61615456222532,27.03260093644988,19.575657283473664,140.0
103,103,4.050323689524987,17.400999619579192,14.251081237097898,142.0
104,104,22.453348374367,85.80621948638407,491.503762376312,143.0
105,105,7.246314988300375,21.41514335030464,20.319790000155663,144.0
108,108,3.9392059735136367,47.89268807103408,64.61594859755911,149.0
109,109,4.156146600736411,42.00332952632216,82.8712314877296,151.0
111,111,13.800158325299767,43.564133166113045,34.12630416288183,153.0
112,112,4.286036149506955,51.14261792650856,83.10469959709634,155.0
113,113,4.24036785382803,16.496982670015306,8.60306219851081,156.0
114,114,3.613799476665269,8.645184166599472,4.192025220462008,159.0
117,117,13.483691911863804,46.98232464520258,21.80159828099798,163.0
118,118,13.66229428953423,39.10849819726739,18.77459850506298,165.0
119,119,3.4223804748911597,18.42063253101893,16.419104944653395,167.0
121,121,3.153438713385188,7.110662260309343,6.867493405991681,169.0
122,122,4.483468252766457,23.78509471828039,14.761178644995494,170.0
123,123,4.12621638952582,20.46542087290441,12.495880134469791,172.0
