,diff
104,-0.018037115352727225
105,-0.0017301350350620948
106,-0.00526425888029326
107,-0.0051853070901132494
108,-0.004083600930566552
109,-0.00667069299573726
110,-0.0036882166590287493
111,-0.006343422750735211
112,-0.0055924639529594915
113,-0.018584331161161486
114,-0.01674290228260903
115,-0.003889172875758378
116,-0.017428463355128897
117,-0.031586153296224224
118,-0.01301139385430857
119,-0.0045794433009463025
120,-0.020306387282272048
121,-0.007432788547037103
122,-0.006105454735760078
123,-0.002191990515536168
124,-0.0049063794988554845
125,-0.005285857749623663
126,-0.003913419422153375
127,-0.004854958728794909
128,-0.0069485917369235695
129,-0.005495029306710158
130,-0.004108439342465567
131,-10.097125274509406
132,-0.23787826532473655
133,-0.0022478001662517713
134,-0.027801611808991152
135,-0.05272702941323008
136,-0.07742770223265583
137,-0.013500405912679795
138,-0.011129310883543861
139,-0.09811796243880172
140,-0.013534868749407526
141,-0.008502489242122529
142,-0.012082439591748198
143,-0.09240450989986994
144,-0.0167499295586062
145,-0.08603863455601025
146,-0.004263856044100194
147,-0.03305005055419586
148,-0.007008477647278324
149,-0.013803135299430723
150,0.0019484149961511849
151,-0.014570909683123762
152,-0.007205668323718926
153,-0.02621616077057197
154,-0.011860100575565293
155,-0.014085929224270126
156,-0.0178501677101174
157,-0.43630584506473874
158,-0.02002367816545366
159,-0.011374578404782999
160,-0.0022573435734663623
161,-0.008225607040425414
162,0.644810645048185
163,-0.0866363611305398
164,-0.008724840952950466
165,-0.051849226566439775
166,0.008117080101499618
167,-0.011625005101891295
168,-0.004289558599553264
169,-0.005365702108373433
170,-0.012906066877730995
171,-0.0021744836682824897
172,-0.00657046319218923
173,-0.03858989254343662
174,-0.06710914360206872
175,-0.00622526823984812
176,-0.006064837719368356
177,-0.03925531610794249
178,-0.027164832495562792
179,-0.02092724844511889
180,-0.0055188942074307305
181,0.9619886177415323
182,-0.005082529458213192
183,-0.0067053138896142886
184,-0.005272907151538725
185,-0.03319910964030728
186,-0.06609494439258021
187,-0.8837498661403373
188,-0.010221591594766618
189,-0.016016669183630504
190,-0.01237554963049029
191,-0.25742077002929725
192,-0.0037496280639496963
193,-0.01058884061494322
194,-0.11471930832075482
195,0.008494412260343233
196,-0.00848600290227081
197,-0.02393613533433154
198,-0.007363505460892989
199,-0.009518788624891984
200,-0.010860941012634828
201,-0.014872617146225406
202,-0.03395342859077631
203,-0.007590773751478456
204,-0.00539945886169596
205,-0.0066691942246682265
206,-0.032681677016599395
207,-0.004444051551718736
208,-0.003942380789827846
209,-0.11692687193144775
210,-0.005593011940080242
211,-0.006476411044484477
212,-0.01379136302383047
213,-0.004469497771180487
214,0.5961951238996291
215,-0.009171776016821348
216,-0.03728699292064515
217,-0.014836355315569988
218,-0.0074844692772534135
219,-0.01794428937317245
220,-0.01657065337170826
221,-0.013613020181887273
222,-0.008755725817015753
223,-0.012488830672290074
224,-0.005755974927413171
225,-0.04468093773782058
226,-0.008964128467662306
227,-0.03774534529192458
228,-0.002824420761012541
229,-0.04862174861042168
230,-0.003943964631465034
231,-0.3406842656044061
232,-0.006969091809419497
233,-0.013185815712275716
234,-0.012295331073120877
235,-0.0037335487338136823
236,-0.023581186587590112
237,-0.027064344527202598
238,-0.021872749707722693
239,-0.004465733054722508
240,0.7001999647344395
241,-0.0028277297239490597
242,-0.0020269825291346537
243,-0.00531557229640226
244,-0.02113356164902988
245,-0.008579947495998929
246,-0.011641738934331505
247,-0.016014700840017736
248,-0.0026681630162433967
249,-0.02154169197449979
250,-0.013430082679178832
251,-0.0045987821194405495
252,-0.012242796704938053
253,-0.0035218842234818375
254,-0.0052104802505609496
255,-0.005743473595729045
256,-0.005073754761457359
257,-0.02428213469174527
258,-0.0027785844511027027
259,-0.0019836666651918368
260,-0.05091179726495114
261,-0.029285820577619824
262,-0.009713755961417022
263,0.07328530564572153
264,0.7438040228068888
265,2.658517966897005
266,-0.006903631634481058
267,-0.005534204335701074
268,-0.03796081479821002
269,-0.011028190822674406
270,-0.003199537678621467
271,-0.010405393682672234
272,-0.005556768722401041
273,-0.00847233045370778
274,-0.015645461039597207
275,-0.020627672272196057
276,-0.175169237783021
277,-0.002754222470121505
278,-0.02872187732771928
279,-0.01002700795439143
280,-0.02779223192287285
281,-0.07358471600161212
282,-0.12325594358168315
283,-0.00696293028796511
284,-0.0008885077632597551
285,-0.006565951516144232
286,-0.00421709594185603
287,-0.03179880149552963
288,-0.06217094888190042
289,-0.008179058498688323
290,-0.07034619730351971
291,-0.027162145380091804
292,-0.009683110856375285
293,-0.04809489868466824
294,-0.4010013549450624
295,-0.002634800225363984
296,-0.18689702577386078
297,-0.012274581560768329
298,-0.036531713487331835
299,-0.007099834149588368
300,-0.019245307896606577
301,0.10295627630862239
302,-0.004537186470729904
303,-0.029109974343590223
304,-0.00586065890446172
305,-0.008507243160631848
306,-0.05303296253735246
307,-0.013253096886377163
308,-0.007883995517827381
309,-0.2838456189524481
310,-0.03561466115018625
311,-0.03606841672493459
312,-0.02304778825620808
313,-0.010044903688518477
314,-0.01693395681451979
315,-0.0012292957467888582
316,-0.009194473172143782
317,-0.02857001917673097
318,-0.004955412516534857
319,-0.09067949488717175
320,-0.0373507670510266
321,-0.025828531368578884
322,-0.02454928023634708
323,3.3005730964028883
324,-0.005995063434312338
325,-0.039449160677803304
326,-0.043041089191684236
327,-0.007253218824575116
328,-0.006093758718355022
329,-0.005036435604630034
330,-0.0025360850279525903
331,-0.018073309707311924
332,-0.0031831123611882235
333,-0.048119928013769776
334,-0.017452652491239746
335,-0.7236090201320937
336,-0.0029920307978480265
337,-0.08464779199970981
338,-0.0029376918640280957
339,-0.1013277878983809
340,-0.013214111860646725
341,-0.019062339476538306
342,-0.005938331064665279
343,-0.0062172999460674006
344,-0.06021186101367515
345,-0.003368162045234138
346,-0.003172080769641246
347,-0.00502462182657528
348,-0.01345758393769639
349,-0.004315273654571339
350,-0.04458169715039989
351,-0.02196966732019307
352,-0.013525929541308872
353,-0.016802017396703398
354,-0.01173501727766071
355,-0.012120024833730411
356,-0.010871165848817099
357,-0.005778905145929208
358,-0.028960615679801717
359,-0.006720604848379948
360,-0.06222307150219309
361,-0.014598157057385404
362,-0.0074639295493601895
363,0.051750938701026816
364,-0.006741564033985885
365,-0.022986131581137777
366,-0.012882527107206079
367,-0.033472545509143185
368,-0.09922958766840491
369,-0.06952187817060886
370,-0.004876189448783302
371,-0.011504627558945177
372,-0.016287233414468767
373,-0.004875180201950847
374,-0.008731744801800377
375,-0.013580460115301377
376,-0.07486535989593088
377,-0.01812782565473165
378,-0.02699590274884665
379,-0.035381972240412826
380,-0.007187556042975198
381,-0.004411977104183698
382,-0.03789821776040568
383,-0.006140011708899518
384,-0.007620747177517333
385,-0.044683068923574085
386,-0.014664247758726797
387,-0.05130808812762048
388,-0.02176030640750766
389,-0.48346312641214584
390,-0.004881018709074652
391,-0.014943461518324144
392,0.11920879360633663
393,-0.04213686377370288
394,-0.002632104681962636
395,-0.014740574371508497
396,-0.01889302418483802
397,-0.011208552602774768
398,-0.0076314765432085735
399,-0.010426769273856138
400,-0.018055470894753324
401,0.8837660690026836
402,-0.002535855177756119
403,-0.05452215452967124
404,-0.012028796246214897
405,-0.029633130161098743
406,-0.006085382249817756
407,-0.024216141830299288
408,-0.0567064478055514
409,-0.016668325945445463
410,-0.007182096487349754
411,-0.0036273116171584227
412,-0.1870911673031793
413,-0.017102236926619257
414,-0.021916040930432628
415,-0.21969132135939315
416,-0.08309707943663049
417,-0.04372069566400611
418,-0.029817761558135165
419,-0.10552870976531963
420,-0.012120428713568488
421,-0.004488093918872206
422,-0.015399031807716745
423,-0.048303989644626906
424,-0.03895054439389624
425,-0.32959274651958687
426,-0.013212369717836802
427,-0.019068458431531512
