name,ra,dec,sloan_g_mag,sloan_r_mag,sloan_i_mag,sloan_z_mag,galah_g_mag,galah_r_mag,galah_i_mag,Bmag,Vmag,Rmag,Imag,Jmag,Hmag,Kmag,class_green13,origin
SDSSJ004125.54+242133.8,10.35625,24.35938889,,18.41,7.02,,,,,,,,,,,,u,Green2013
SDSSJ004322.13+002843.7,10.84208333,0.478805556,,16.76,6.97,,,,,,,,,,,,dG,Green2013
SDSSJ004343.87-005356.2,10.9325,-0.898944444,,19.6,,,,,,,,,,,,,d,Green2013
SDSSJ004706.76+000748.9,11.77791667,0.13025,,18.48,8.42,,,,,,,,,,,,d,Green2013
SDSSJ004853.30-090435.7,12.22208333,-9.076583333,,19.46,8.8,,,,,,,,,,,,d,Green2013
SDSSJ004857.54-003358.3,12.23958333,-0.566194444,,19.04,7.07,,,,,,,,,,,,uG,Green2013
SDSSJ004905.98-003811.1,12.27458333,-0.636416667,,17.57,8.28,,,,,,,,,,,,u,Green2013
SDSSJ005424.17-010106.4,13.60041667,-1.018444444,,19.01,8.2,,,,,,,,,,,,d,Green2013
SDSSJ010521.00-091742.8,16.3375,-9.295222222,,18.21,,,,,,,,,,,,,uE,Green2013
SDSSJ010717.90-091329.5,16.82458333,-9.224861111,,18.82,8.72,,,,,,,,,,,,d,Green2013
SDSSJ010942.00+165809.5,17.425,16.96930556,,17.49,7.31,,,,,,,,,,,,u,Green2013
SDSSJ011043.99-103109.8,17.68291667,-10.51938889,,15.71,7.77,,,,,,,,,,,,g,Green2013
SDSSJ011717.70+010544.1,19.32375,1.095583333,,18.91,8.09,,,,,,,,,,,,d,Green2013
SDSSJ011910.86+250137.2,19.795,25.027,,16.7,7.32,,,,,,,,,,,,dG,Green2013
SDSSJ012028.56-083630.9,20.11875,-8.608583333,,17,8.56,,,,,,,,,,,,d,Green2013
SDSSJ012101.10-001507.3,20.25458333,-0.252027778,,19.26,8.45,,,,,,,,,,,,d,Green2013
SDSSJ012150.33+011302.2,20.45958333,1.217277778,,16.97,8.38,,,,,,,,,,,,d,Green2013
SDSSJ012159.74-010142.8,20.49875,-1.028555556,,18,,,,,,,,,,,,,dG,Green2013
SDSSJ012321.07-004549.9,20.8375,-0.763861111,,17.73,8.21,,,,,,,,,,,,uE,Green2013
SDSSJ012518.67-104448.2,21.3275,-10.74672222,,16.42,8.54,,,,,,,,,,,,d,Green2013
SDSSJ012526.74+000448.5,21.36125,0.080138889,,19.32,8.45,,,,,,,,,,,,d,Green2013
SDSSJ012747.73-100439.1,21.94875,-10.07752778,,18.83,8.62,,,,,,,,,,,,d,Green2013
SDSSJ012919.18-083137.9,22.32958333,-8.527194444,,18.48,8.25,,,,,,,,,,,,d,Green2013
SDSSJ013148.46+004230.7,22.95166667,0.708527778,,19.24,7.82,,,,,,,,,,,,d,Green2013
SDSSJ013249.99+000300.4,23.20791667,0.050111111,,20.52,7.79,,,,,,,,,,,,n,Green2013
SDSSJ014140.31-100355.1,25.41791667,-10.06530556,,19.6,8.6,,,,,,,,,,,,d,Green2013
SDSSJ014155.53+005823.6,25.48125,0.973222222,,17.92,7,,,,,,,,,,,,uG,Green2013
SDSSJ014359.79+141700.4,25.99875,14.28344444,,17.79,6.77,,,,,,,,,,,,nG,Green2013
SDSSJ015232.31-004932.6,28.13458333,-0.825722222,,18.29,8.6,,,,,,,,,,,,d,Green2013
SDSSJ015549.53+004938.9,28.95625,0.827472222,,15.98,7.2,,,,,,,,,,,,dG,Green2013
SDSSJ015923.64+063011.7,29.84833333,6.50325,,17.26,7.16,,,,,,,,,,,,uG,Green2013
SDSSJ020100.13-004259.0,30.25041667,-0.716388889,,16.71,7.37,,,,,,,,,,,,u,Green2013
SDSSJ020252.79-004359.6,30.71958333,-0.733222222,,18.75,8.31,,,,,,,,,,,,d,Green2013
SDSSJ020514.57+072353.7,31.31041667,7.39825,,16.06,8.08,,,,,,,,,,,,g,Green2013
SDSSJ020716.86+133034.6,31.82,13.50961111,,19.46,7.41,,,,,,,,,,,,u,Green2013
SDSSJ020738.05+211913.3,31.90833333,21.32036111,,17.17,6.82,,,,,,,,,,,,uG,Green2013
SDSSJ021119.83+003201.4,32.8325,0.533722222,,19.76,8.66,,,,,,,,,,,,d,Green2013
SDSSJ021427.48+225919.8,33.61416667,22.98883333,,17.44,7.29,,,,,,,,,,,,u,Green2013
SDSSJ021512.78+063826.8,33.80291667,6.640777778,,17.57,7.14,,,,,,,,,,,,uG,Green2013
SDSSJ022229.93-004847.5,35.62458333,-0.813194444,,18.53,6.98,,,,,,,,,,,,dG,Green2013
SDSSJ022304.43+004501.3,35.76833333,0.750361111,,17.34,8.98,,,,,,,,,,,,d,Green2013
SDSSJ023208.60+003639.1,38.03583333,0.610861111,,19.41,8.48,,,,,,,,,,,,d,Green2013
SDSSJ025634.62-084853.8,44.14416667,-8.814944444,,19.57,8.24,,,,,,,,,,,,d,Green2013
SDSSJ025652.15+051341.0,44.21708333,5.228055556,,18.4,7.25,,,,,,,,,,,,u,Green2013
SDSSJ025727.90+004934.3,44.36625,0.826194444,,19.32,7.23,,,,,,,,,,,,u,Green2013
SDSSJ030349.53-001833.1,45.95625,-0.309194444,,19.61,7.37,,,,,,,,,,,,d,Green2013
SDSSJ030636.88+053056.8,46.65333333,5.515777778,,17.74,6.89,,,,,,,,,,,,dG,Green2013
SDSSJ030802.03+004210.6,47.00833333,0.702944444,,19.43,7.69,,,,,,,,,,,,d,Green2013
SDSSJ031700.34+005132.3,49.25125,0.858972222,,18.79,7.23,,,,,,,,,,,,u,Green2013
SDSSJ032036.78+054744.1,50.15291667,5.795583333,,20.18,6.7,,,,,,,,,,,,dL,Green2013
