,N/gchisq,g/rchisq,r/ichisq,i/zchisq,totchisq,reducedtotchisq,totchisq2,reducedtotchisq2,starindex,modelindex,test2
0,136.0716236250523,5.6027396186556855,1139.730848498563,6615.011567347254,7760.345155464473,3880.1725777322363,7896.416779089524,2632.138926363175,0.0,91.0,0.6783561487622095
1,5.390202430009252,361.24250649465006,115.4970844074027,780.7369051160777,1257.4764960181305,628.7382480090653,1262.8666984481397,420.9555661493799,1.0,1201.0,0.6695243489359192
2,5.3122438296195496,666.3808482470453,151.00263205965948,1467.3284005090857,2284.71188081579,1142.355940407895,2290.0241246454098,763.3413748818033,2.0,1189.0,0.6682167509097392
3,63.73563424522185,25.28591603605646,25.462927474168406,908.4887955754701,959.237639085695,479.6188195428475,1022.9732733309169,340.9910911103056,3.0,1208.0,0.7109627004113891
4,20.95185066009371,0.7479229871152036,0.24920501446195265,369.662809853462,370.6599378550392,185.3299689275196,391.6117885151329,130.53726283837764,4.0,1206.0,0.7043505353925207
5,637.7984049602035,59.18224317035643,1067.5355447960183,14188.036404317365,15314.75419228374,7657.37709614187,15952.552597243943,5317.517532414648,5.0,1211.0,0.694430673277649
6,15.109749235889247,10.942424409514247,121.36249745373047,217.7362175850053,350.04113944825,175.020569724125,365.15088868413926,121.71696289471309,6.0,314.0,0.6954437589054169
7,94.85018927606866,221.0155934397871,321.96589821901654,947.3193982939503,1490.3008899527538,745.1504449763769,1585.1510792288225,528.3836930762742,7.0,1202.0,0.7090966618063621
8,101.63363659157322,710.637485007469,2.4959543480922655,12.861189617048652,725.9946289726099,362.99731448630496,827.6282655641832,275.87608852139437,8.0,81.0,0.7599948471018304
9,4.579496214493662,5.040426940736941,23.66855508886295,1.2446928332579796,29.95367486285787,14.976837431428935,34.53317107735153,11.511057025783844,9.0,263.0,0.7685906372748534
10,14.362369932421386,0.9715504944691796,0.8266501015615014,3.9592891583785614,5.757489754409242,2.878744877204621,20.119859686830626,6.706619895610209,10.0,268.0,2.3297027634218876
11,41.61347685183558,274.0977354787382,1700.03829933715,5012.71162472524,6986.847659541128,3493.423829770564,7028.461136392963,2342.8203787976545,11.0,1185.0,0.6706373154131495
12,11.583972400013113,63.08737706602034,555.3654586852452,1270.4367270408666,1888.889562792132,944.444781396066,1900.4735351921454,633.4911783973818,12.0,276.0,0.6707551260550811
13,44.46317936319953,94.44911480353214,148.8374793628755,467.4546362562236,710.7412304226311,355.37061521131557,755.2044097858306,251.73480326194354,13.0,1200.0,0.7083725904356312
14,5.279786900580269,470.78553388539115,1498.693603458864,169.07225260048557,2138.5513899447405,1069.2756949723703,2143.831176845321,714.6103922817737,14.0,952.0,0.6683125742423603
15,20.17489261796868,90.3804060254631,722.4826456329597,1456.0558334101322,2268.918885068555,1134.4594425342775,2289.093777686524,763.0312592288413,15.0,310.0,0.6725945684971338
16,15.80826016025009,1147.3280012607795,660.6875070811847,5626.206265766215,7434.2217741081795,3717.1108870540897,7450.0300342684295,2483.3433447561433,16.0,1131.0,0.6680842784123289
17,33.581640189517245,5.907701588245307,8.590531651511691,453.1590929690007,467.6573262087577,233.82866310437885,501.23896639827495,167.07965546609165,17.0,101.0,0.7145388133682692
18,93.98510576585915,7.655019913021987,138.3513546461611,683.5464831705423,829.5528577297254,414.7764288648627,923.5379634955846,307.8459878318615,18.0,1203.0,0.7421974018011522
19,30.812802706404128,13.494286835704699,6.717408472551459,751.4941953449155,771.7058906531717,385.8529453265858,802.5186933595758,267.50623111985857,19.0,92.0,0.693285445556056
20,62.094257214487676,345.6857293154579,274.21257884388893,865.7851466539864,1485.6834548133331,742.8417274066666,1547.7777120278208,515.9259040092736,20.0,1198.0,0.6945300526000627
21,65.37114987061386,36.48123238539322,14.34385877811238,794.6786121611004,845.503703324606,422.751851662303,910.8748531952199,303.6249510650733,21.0,1202.0,0.7182108129655477
22,16.351265617448178,20971.59690510898,6798.490386358621,992.4468636837995,28762.534155151403,14381.267077575701,28778.885420768853,9592.961806922951,22.0,1194.0,0.6670456612186128
23,43.88574469926971,5.98657892481041,50.24859140233435,0.1361583805373046,56.37132870768206,28.18566435384103,100.25707340695178,33.41902446898393,23.0,1209.0,1.1856745347366529
24,151.5648859009345,811.3394865150824,71.21403755647245,1176.7442952148597,2059.2978192864143,1029.6489096432072,2210.8627051873486,736.9542350624496,24.0,369.0,0.7157335166972771
25,22.872758410306158,2.3887899572729694,0.3650186905818339,20.686322985984546,23.44013163383935,11.720065816919675,46.312890044145504,15.437630014715168,25.0,284.0,1.3171965290867762
26,72.97564425191418,5.859039108192004,3.7752201403804473,511.9998025071211,521.6340617556936,260.8170308778468,594.6097060076078,198.20323533586927,26.0,91.0,0.7599321051572642
27,43.576806529441356,0.46422785360105256,59.40318609984325,80.46326891464184,140.33068286808617,70.16534143404309,183.9074893975275,61.3024964658425,27.0,454.0,0.8736862846091635
28,173.04007652634957,36.33454753040263,181.5699547669659,1582.3208959851506,1800.225398282519,900.1126991412596,1973.265474808869,657.7551582696229,28.0,102.0,0.7307475596079751
29,144.41787830697504,3.046295719047344,143.01032882494937,1077.0828819508167,1223.1395064948133,611.5697532474067,1367.5573848017884,455.85246160059614,29.0,99.0,0.7453809793241752
30,6.933600373378754,0.44848716114414655,0.9209113542486316,1.3867663796913017,2.75616489508408,1.37808244754204,9.689765268462832,3.2299217561542775,30.0,253.0,2.3437797658008015
31,2.137242542942254,0.6559385432073144,1.2877456718686238,0.047213048035427765,1.990897263111366,0.995448631555683,4.12813980605362,1.3760466020178734,31.0,300.0,1.3823381321720174
