name,ra,dec,sloan_g_mag,sloan_r_mag,sloan_i_mag,sloan_z_mag,galah_g_mag,galah_r_mag,galah_i_mag,Bmag,Vmag,Rmag,Imag,Jmag,Hmag,Kmag,class_green13,origin,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra_x,ra_error,dec_x,dec_error,parallax,Posparallax,distance,dist_mod,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,Mg,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,Error Bar,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,angDist
SDSSJ002011.85+002912.2,5.049166667,0.486722222,,15.76,7.5,,,,,,,,,,,,g,Green2013,5.049351741,0.486735276,0.002,0.001,90,2.54537E+18,5.049346393,0.0439,0.486722328,0.0338,-0.0684,0.0684,14619.88304,15.82471949,0.0544,-1.242,0.106,-3.007,0.069,FALSE,8659.69,4.74174,15.84461,0.019890509,3558.35,11.5234,16.473267,7284.8,8.52505,15.105876,1.367391,20.04845031,,,0,4723.71,,,,,0.667897
SDSSJ002347.62+000528.9,5.948333333,0.091361111,,16.81,7.23,,,,,,,,,,,,u,Green2013,5.94842352,0.091387528,0.003,0.002,90,2.54379E+18,5.948427713,0.0774,0.091383147,0.0565,0.0976,0.0976,10245.90164,15.05275091,0.0941,0.974,0.203,-1.018,0.129,FALSE,3113.83,2.99252,16.955128,1.902377088,1286.63,9.9872,17.577755,2616.85,8.69829,16.217474,1.360281,18.68548978,,,0,4906.45,,,,,0.338315
SDSSJ002714.21+002914.3,6.809166667,0.487305556,,20.74,8.59,,,,,,,,,,,,nL,Green2013,6.809245759,0.487256797,0.001,0.001,90,2.54391E+18,6.809245759,1.4102,0.487256797,0.8391,,,,,,,,,,FALSE,87.7186,0.980079,20.830637,,67.9242,20.2739,20.771328,112.92,7.61614,19.62999,1.141338,27.89003908,,,0,,,,,,0.334479
SDSSJ002919.44+004314.2,7.330833333,0.720611111,,18.89,7.25,,,,,,,,,,,,d,Green2013,7.330989305,0.720622182,0.009,0.007,90,2.5439E+18,7.331062178,0.2885,0.720617929,0.2214,-0.0477,0.0477,20964.36059,16.6074081,0.3453,16.924,0.589,-0.988,0.482,FALSE,477.333,1.1036,18.991312,2.383903895,234.718,4.57352,19.42502,382.71,5.32134,18.304747,1.120274,9.894860184,,,0,,,,,,0.562867
SDSSJ003013.10-003226.6,7.554583333,-0.540722222,,19.5,8.9,,,,,,,,,,,,u,Green2013,7.554541286,-0.54075216,0.016,0.011,90,2.54346E+18,7.554573524,0.4699,-0.540761908,0.3642,1.233,1.233,811.0300081,9.545184617,0.5747,7.487,1.002,-2.264,0.739,FALSE,260.111,1.02104,19.65047,10.10528538,107.038,8.07212,20.277538,290.35,8.08454,18.604618,1.67292,16.15665971,,,0,,,,,,0.185814
SDSSJ003351.80+151114.3,8.465833333,15.18730556,,20.61,8.56,,,,,,,,,,,,uL,Green2013,8.465864672,15.18733881,0.03,0.026,90,2.78052E+18,8.465910979,0.7631,15.18735957,0.7967,0.1034,0.1034,9671.179884,14.92739731,0.906,10.38,1.963,4.821,1.656,FALSE,100.224,0.726219,20.685934,5.758536694,60.9801,10.2058,20.888418,112.549,5.47801,19.633562,1.254856,15.68381006,,,0,,,,,,0.161814
SDSSJ003504.79+010845.9,8.769583333,1.146083333,,17.85,9.74,,,,,,,,,,,,uE,Green2013,8.769960935,1.146085398,0.003,0.003,90,2.54419E+18,8.769961812,0.1018,1.146084567,0.092,-0.1159,0.1159,8628.127696,14.67958282,0.1026,0.204,0.222,-0.193,0.176,FALSE,3096.74,29.0771,16.961103,2.28152018,832.522,34.3889,18.0504,3416.33,93.4683,15.92802,2.12238,127.8572008,,,0,3981.35,,,,,1.359115
SDSSJ003721.34+001224.7,9.33875,0.206861111,,19.07,7.35,,,,,,,,,,,,d,Green2013,9.338921387,0.206885983,0.015,0.008,90,2.54324E+18,9.33900179,0.3269,0.206806885,0.2365,1.365,1.365,732.6007326,9.324336743,0.4578,18.674,0.984,-18.371,0.521,FALSE,402.215,1.35336,19.17722,9.852883257,193.164,5.09795,19.636574,340.388,7.78027,18.431984,1.20459,12.87821998,,,0,,,,,,0.62345
SDSSJ003813.23+134551.1,9.555,13.76419444,,19.3,8.28,,,,,,,,,,,,uE,Green2013,9.555126071,13.7641818,0.011,0.008,90,2.77936E+18,9.55511846,0.323,13.76418665,0.2554,1.2459,1.2459,802.632635,9.522584071,0.3937,-1.717,0.739,1.126,0.509,FALSE,328.741,0.971157,19.396229,9.873644929,119.436,8.65977,20.158548,326.978,9.29063,18.475624,1.682924,17.95040001,,,0,,,,,,0.443165
SDSSJ003937.35+152910.7,9.905416667,15.48630556,,18.63,7.58,,,,,,,,,,,,d,Green2013,9.905616663,15.48627185,0.01,0.005,90,2.77984E+18,9.905690289,0.2342,15.48616552,0.1421,0.1922,0.1922,5202.913632,13.58123308,0.2653,16.479,0.648,-24.696,0.31,FALSE,595.161,1.31373,18.75178,5.170546917,238.124,5.59503,19.40938,500.223,8.66821,18.01401,1.395371,14.26323983,,,0,,,,,,0.704378
