,EEP,log10_isochrone_age_yr,initial_mass,star_mass,log_Teff,log_g,log_L,[Fe/H]_init,[Fe/H],GALEX_FUV,GALEX_NUV,phase
13,247,9.69,0.13425163971404716,0.134250431053436,3.6177424000353695,5.295812260621385,-2.3114264030692,-4.0,-3.976244,41.75243,28.274513,0.0
14,248,9.69,0.13703568221804965,0.13703440561358118,3.619436767396449,5.28486982685037,-2.2839017213322856,-4.0,-3.985272,41.575172,28.152081,0.0
15,249,9.69,0.13970620696917757,0.13970486161331352,3.621060992406892,5.2743674083055225,-2.257497413601505,-4.0,-3.976016,41.394169,28.041742,0.0
16,250,9.69,0.14267083114982537,0.1426694046410664,3.622862870022173,5.262667315693209,-2.2281490755528166,-4.0,-3.966932,41.18959,27.917591,0.0
17,251,9.69,0.14604836358241766,0.14604684817844016,3.624691107559338,5.2507988175765306,-2.1977452845523326,-4.0,-3.966801,40.979462,27.785315,0.0
18,252,9.69,0.14999363078471178,0.14999201832128187,3.6265087307768145,5.238978026839309,-2.16649417072177,-4.0,-3.966675,40.763977,27.650444,0.0
19,253,9.69,0.15398128241981518,0.15397956576463057,3.6283423780305615,5.226963440805537,-2.1348568553570537,-4.0,-3.975501,40.545467,27.510111,0.0
20,254,9.69,0.1628166277653428,0.1628147453576088,3.6307166602863177,5.211257831530399,-2.087487184205288,-4.0,-3.966429,40.234802,27.319187,0.0
21,255,9.69,0.17165929471875824,0.17165723455312248,3.6330522140119785,5.195490753111969,-2.0402822507721217,-4.0,-3.975277,39.927551,27.123106,0.0
22,256,9.69,0.1802485473721554,0.18024630157777496,3.635310251254999,5.179928796096216,-1.994225734568424,-4.0,-3.966224,39.623474,26.93787,0.0
23,257,9.69,0.1889356561960592,0.18893321707599928,3.6373839446775458,5.164550480498136,-1.9494619261910484,-4.0,-3.975095,39.342735,26.756413,0.0
24,258,9.69,0.19810798289594697,0.19810532825623808,3.639439864318063,5.148523567066286,-1.9033201632972492,-4.0,-3.96607,39.058659,26.577072,0.0
25,259,9.69,0.20687472983129593,0.20687187151063083,3.640999898885585,5.134259922715516,-1.8631198384629903,-4.0,-3.974981,38.835476,26.424248,0.0
26,260,9.69,0.2155220756880562,0.2155190424886285,3.6416772480893327,5.122866837847502,-1.832257199583036,-4.0,-3.966023,38.701065,26.32782,0.0
27,261,9.69,0.2245070132257249,0.22450378653644928,3.642380687027448,5.11111636835233,-1.8002785033250464,-4.0,-3.984133,38.568336,26.221655,0.0
28,262,9.69,0.2330430054002477,0.2330395841719896,3.643048324478383,5.099946868563078,-1.7698941208413488,-4.0,-3.97501,38.438038,26.126583,0.0
29,263,9.69,0.2413843888478641,0.24138077240231096,3.643679364468848,5.089540665596598,-1.7412553112301374,-4.0,-3.984178,38.319656,26.033129,0.0
30,264,9.69,0.24974981760112888,0.24974599434446107,3.644310650079031,5.079219802358409,-1.712686802989382,-4.0,-3.984214,38.200558,25.941732,0.0
31,265,9.69,0.257041564934791,0.257037569414324,3.644809598303101,5.071290352988205,-1.6901756262429708,-4.0,-3.966135,38.103973,25.873117,0.0
32,266,9.69,0.26402031770831746,0.26401616562427643,3.6452425081995554,5.064754505047762,-1.6708565165561915,-4.0,-3.984242,38.027512,25.807592,0.0
33,267,9.69,0.2707132045961523,0.2707088976932711,3.6456580591859,5.058495191559043,-1.6523360714061477,-4.0,-3.984254,37.951454,25.748087,0.0
34,268,9.69,0.2774655128004712,0.2774610453108486,3.646077818755767,5.052266526522009,-1.6337353304100986,-4.0,-3.984275,37.875313,25.68824,0.0
35,269,9.69,0.28431292167691363,0.28430828527670177,3.6465041413132706,5.046042168520548,-1.614962037092463,-4.0,-3.984304,37.798676,25.627752,0.0
