,fuvchisq,nuvchisq,uchisq,gchisq,rchisq,ichisq,zchisq,totchisq,reducedtotchisq
0,,81.43931373052587,2229.206682239713,158217.36878917945,127123.92861188845,115290.139649872,42423.32228570793,443054.7593366478,147684.9197788826
1,,82.03252384448746,2018.3105984489757,152712.5005477838,121846.9630386912,110113.61670404366,37563.86291619308,422236.94320671173,140745.6477355706
2,,82.9869645862991,1671.7620231042188,143626.80158226026,113239.7159744576,101765.27736395605,30106.45119773467,388738.24611840857,129579.41537280286
3,,83.96063662774705,1316.376061780559,134060.2764277476,104358.76475202499,93262.50659839858,23070.158125222784,354751.7059033939,118250.56863446464
4,,84.89884928828907,981.3363103437958,124556.63871584075,95674.31703855364,85030.61545131567,16886.008937725142,322147.5801434352,107382.5267144784
5,,85.81314474163194,674.3281076532072,115028.9572888713,87144.41340623246,77012.73753255424,11561.135936262173,290747.2441639202,96915.74805464006
6,,86.84567011895673,369.61884704462733,103968.5184535508,77450.58261190257,67963.38443340668,6527.480201067135,255909.9656999272,85303.32189997574
7,,87.8700571598665,137.87220688287871,92714.01152538757,67818.94235632243,59023.999691133016,2772.5708920829074,222329.52446492593,74109.84148830864
8,,88.86509823244253,13.255504601139474,81567.34331648848,58513.09422198773,50427.761719792936,558.2767213505456,191066.4759796197,63688.825326539896
9,,89.85306996553123,27.97208237915448,70371.3301013377,49411.49431842192,42050.78404667319,48.48020480650125,161882.0886712393,53960.69622374643
10,,90.97484842972867,275.82710636648494,57638.149703326584,39332.67984085493,32821.44487026504,1948.0799523558076,131740.35436680235,43913.451455600785
11,,92.06290953590555,835.3467276065944,45473.84389937547,29997.657685711212,24370.630058382278,6869.9482396218,106712.07988309074,35570.693294363584
12,,93.1195199262238,1781.3222827921747,34105.36208588934,21586.429079717043,16853.59976241658,15183.409002458055,87728.79993048101,29242.933310160337
13,,94.22726078092903,3335.886595345312,23024.446207523448,13692.848547769918,10015.19108963036,28405.236095488952,75137.72194041268,25045.907313470892
14,,95.41780045330411,5857.037890087839,12701.438077011391,6721.757806515011,4330.39854895255,48640.637557561815,72394.23199004077,24131.410663346924
15,,96.56097710207543,9369.16872262514,5091.695891817688,2039.0924163673121,919.724831964651,75154.32822380013,83204.84136394977,27734.947121316593
16,,97.66066763389024,14087.659455210367,752.7560042775078,39.35641081923484,45.84475902888755,108919.20617694562,109757.16335107126,36585.72111702375
17,,98.88433395353334,21430.15624209247,745.4479955832816,1768.8886947603116,2776.3779266103916,159359.25289457478,164649.96751152875,54883.322503842915
18,,100.09411534760622,31445.18358043834,7548.297753334607,8866.692227404816,10356.873984265529,223625.83795548862,250397.70192049356,83465.90064016452
19,,101.20312497628758,44647.30088133703,23802.348689996874,24031.457554853518,25640.86915523139,315627.4689389691,389102.14433905086,129700.71477968362
20,,102.3176765749227,62414.57878399424,52472.59921072309,49312.27840896343,50275.44761980861,434714.0503666007,586774.3756060959,195591.4585353653
21,,103.49708366648298,87538.70539877295,100197.14297070239,89948.1725633387,89036.87239898817,595947.0638416485,875129.2517746778,291709.7505915593
22,,104.69028169794782,121584.56229668393,171643.17588126744,149106.7379598118,144645.40463428167,803196.6476662548,1268591.9661416155,422863.98871387186
23,,105.82209474327254,164544.068048394,268370.82779626246,227852.41539029052,218018.73000969653,1055759.3626815453,1770001.3358777948,590000.4452925982
24,,106.9334154118056,219965.4129999677,398614.83953591296,332344.42129231157,314830.2657160793,1369527.3293124663,2415316.85585677,805105.6186189234
25,,108.0854012579893,295454.53582892707,582144.106316917,477898.7241058893,449259.05348289205,1784165.4034125395,3293467.287318238,1097822.4291060793
26,,109.02147634171294,378320.81922275265,796717.8824581613,650567.7910354144,610208.4927308094,2264399.116302795,4321893.28252718,1440631.0941757269
27,,109.93980323368488,479906.02987444063,1064548.7940187328,864456.18992771,809065.4564668788,2838658.056179764,5576728.496593086,1858909.498864362
28,,110.8098342555844,598675.6704431729,1381786.1098184148,1116296.9425524306,1042283.3782802796,3494097.820025803,7034464.250676928,2344821.416892309
29,,111.6606253930127,740653.3010153967,1762196.7171478912,1415868.0629694865,1319117.9725376458,4254866.10156131,8752048.854216333,2917349.618072111
30,,112.38314139767566,884782.2714824884,2150898.768289567,1720089.7353652893,1599470.432475877,5010716.100675742,10481175.036806475,3493725.012268825
31,,112.90069702154086,1002461.2746491235,2465258.8929964304,1963818.1784180228,1823313.645242827,5605384.751657752,11857775.468315031,3952591.8227716773
32,,113.4049537893192,1130988.7056960103,2809469.1067403443,2229662.748403991,2067024.555625892,6246089.623211475,13352246.033981703,4450748.677993901
33,,113.90120088993737,1272326.9978508148,3188964.494215677,2521639.7542494,2334181.3706749543,6941667.4585942635,14986453.077734295,4995484.359244765
34,,114.41120844774893,1434648.714794373,3622644.753777727,2853661.2106448794,2637489.469300455,7724196.767678904,16837992.201401964,5612664.067133988
35,,114.94704279278612,1624041.2049024068,4123968.985713798,3234186.887896195,2983988.965801716,8608189.54629948,18950334.38571119,6316778.128570396
36,,115.47791336260812,1833056.4396486017,4672601.024246895,3647359.6280140094,3358925.4634069973,9555207.581217675,21234093.69688558,7078031.232295193
37,,115.9478700243251,2040125.661791767,5215785.742264714,4055711.0812238893,3729010.3772227713,10484032.007003184,23484539.207714558,7828179.735904853
38,,116.81933156852588,2458491.383352356,6260417.618852033,4816601.3783347355,4408537.900951049,12154344.87481604,27639901.77295386,9213300.59098462
39,,117.22439329254775,2676893.1646563136,6797126.130292312,5202553.650419485,4751002.537782295,12986754.735030694,29737437.053524785,9912479.017841594
40,,117.56404382014973,2873936.4692642563,7280980.64899114,5549019.550214051,5057485.692458443,13728101.145830821,31615587.037494455,10538529.012498152
41,,118.13046504220897,3231731.712883391,8138817.492590331,6157276.325071649,5593528.118439094,15016912.04569104,34906533.98179211,11635511.327264035
