col1,N/uchisq,g/rchisq,r/ichisq,i/zchisq,u/gchisq,totchisq,reducedtotchisq,totchisq2,reducedtotchisq2,starindex,modelindex,test2
0,137.5591278,79.06384525,1365.597002,6386.747471,7500.287409,7752.344472,7752.344472,15469.25485,3867.313714,0,92,0.498857311
1,0.079661144,2679.459278,6.254756028,669.6237257,8.755144849,675.8784817,675.8784817,3364.172566,841.0431415,1,95,1.244370348
2,5.008432801,666.3808482,151.0026321,1467.328401,689.0222178,1618.331033,1618.331033,2978.742531,744.6856329,2,1189,0.460156555
3,66.33451001,103.5724257,0.181121078,925.4698103,186.24742,925.6509314,925.6509314,1281.805287,320.4513218,3,1207,0.346190244
4,14.54779977,53.06943832,3.908068045,355.1972391,111.1223522,359.1053071,359.1053071,537.8448974,134.4612244,4,1207,0.374433966
5,495.4147053,3943.687674,2316.893656,12670.79108,914174.2072,14987.68474,14987.68474,933600.9943,233400.2486,5,130,15.57280212
6,14.94687678,279.6862061,197.441605,103.6368571,1425.138186,301.0784621,301.0784621,2020.849731,505.2124328,6,1199,1.678009212
7,49.21055787,7049.248641,0.250210309,933.542895,434.7542351,933.7931053,933.7931053,8467.006539,2116.751635,7,1206,2.26683151
8,98.77737931,790.4967483,0.537462434,0.51583261,3035.383058,1.053295044,1.053295044,3925.71048,981.4276201,8,341,931.7689529
9,12.79910258,402.238107,0.206238846,0.735809607,1351.430351,0.942048453,0.942048453,1767.409609,441.8524023,9,1205,469.0336266
10,14.60602044,23.65037213,0.299759609,0.975882274,72.05696753,1.275641883,1.275641883,111.589002,27.8972505,10,278,21.8691867
11,48.00792717,274.0977355,1700.038299,5012.711625,431.5506007,6712.749924,6712.749924,7466.406187,1866.601547,11,1185,0.27806809
12,22.8051208,1430.281122,1021.863862,527.0551532,3161.539372,1548.919015,1548.919015,6163.54463,1540.886158,12,1200,0.994813895
13,11.48840864,6471.747836,35.45164246,81.92934135,74.91733552,117.3809838,117.3809838,6675.534564,1668.883641,13,114,14.21766616
14,5.067457855,979.6579274,1558.923356,3.438939296,175.4762886,1562.362295,1562.362295,2722.563969,680.6409923,14,929,0.435648629
15,20.42701706,1170.205302,1310.055902,630.7476167,2052.697903,1940.803518,1940.803518,5184.133741,1296.033435,15,1198,0.667781887
16,15.14876051,1147.328001,660.6875071,5626.206266,66.66671914,6286.893773,6286.893773,7516.037254,1879.009313,16,1131,0.298877217
17,44.968204,144.4726148,2.261717145,446.0006116,80.81591005,448.2623287,448.2623287,718.5190576,179.6297644,17,1206,0.400724649
18,54.78228657,1206.056132,1.569085214,673.1334231,231.2033212,674.7025083,674.7025083,2166.744248,541.6860621,18,1206,0.802851709
19,25.49233228,52.90882591,0.113204187,748.7335067,0.809918577,748.8467109,748.8467109,828.0577877,207.0144469,19,93,0.276444356
20,39.76965046,5418.278557,59.45901002,356.0469226,1289.735933,415.5059326,415.5059326,7163.290072,1790.822518,20,1206,4.309980622
21,38.10155634,2473.646029,0.062808173,790.0301872,868.616524,790.0929954,790.0929954,4170.457104,1042.614276,21,94,1.319609568
22,7.478775463,95803.37036,1.543394292,902.1045857,485.0618249,903.64798,903.64798,97199.55894,24299.88973,22,95,26.89088038
23,0.216670324,379.1730656,7.841932129,20.63997362,11.52998781,28.48190575,28.48190575,419.4016295,104.8504074,23,1214,3.681298867
24,137.2029621,815.3366495,88.14941317,1158.728972,2228.430974,1246.878385,1246.878385,4427.848971,1106.962243,24,591,0.887786857
25,23.86435317,41.45468492,6.480592404,6.295137795,713.2011006,12.7757302,12.7757302,791.2958689,197.8239672,25,469,15.48435699
26,63.74320485,46.11050568,0.004828391,509.9988408,56.49148221,510.0036692,510.0036692,676.348862,169.0872155,26,92,0.331541174
